Year,Regional Site,Game,Winning Team,Runs,Seed,Losing Team,Runs,Seed
2004,"Palo Alto, CA",2,Stanford,10,1,Nevada-Las Vegas,4,4
2004,"Palo Alto, CA",3,St. John's,9,3,Nevada-Las Vegas,6,4
2004,"Palo Alto, CA",4,Long Beach St.,7,2,Stanford,4,1
2004,"Palo Alto, CA",5,Stanford,7,1,St. John's,2,3
2004,"Palo Alto, CA",6,Long Beach St.,8,2,Stanford,4,1
2004,"South Bend, IN",1,Kent St.,2,4,Notre Dame,1,1
2004,"South Bend, IN",2,Arizona,7,3,UC Irvine,3,2
2004,"South Bend, IN",3,Notre Dame,6,1,UC Irvine,5,2
2004,"South Bend, IN",4,Arizona,7,3,Kent St.,4,4
2004,"South Bend, IN",5,Notre Dame,7,1,Kent St.,1,4
2004,"South Bend, IN",6,Arizona,7,3,Notre Dame,6,1
2004,Miami,1,North Carolina St.,6,2,Florida Atlantic,5,3
2004,Miami,2,Miami,6,1,St. Bonaventure,3,4
2004,Miami,3,Florida Atlantic,14,3,St. Bonaventure,2,4
2004,Miami,4,Miami,19,1,North Carolina St.,5,2
2004,Miami,5,Florida Atlantic,10,3,North Carolina St.,2,2
2004,Miami,6,Miami,19,1,Florida Atlantic,6,3
2004,Oklahoma City,1,Florida,12,1,Central Connecticut,1,4
2004,Oklahoma City,2,UCLA,9,3,Oklahoma,1,2
2004,Oklahoma City,3,Oklahoma,6,2,Central Connecticut,1,4
2004,Oklahoma City,4,Florida,4,1,UCLA,3,3
2004,Oklahoma City,5,UCLA,17,3,Oklahoma,7,2
2004,Oklahoma City,6,Florida,11,1,UCLA,0,3
2004,Houston,1,Texas Southern,4,4,Rice,3,1
2004,Houston,2,Texas A&M,14,2,Lamar,3,3
2004,Houston,3,Rice,6,1,Lamar,3,3
2004,Houston,4,Texas A&M,12,2,Texas Southern,1,4
2004,Houston,5,Rice,7,1,Texas Southern,1,4
2004,Houston,6,Rice,3,1,Texas A&M,1,2
2004,Houston,7,Texas A&M,7,2,Rice,5,1
2004,"Baton Rouge, LA",1,LSU,9,1,Army,0,4
2004,"Baton Rouge, LA",2,Southern Miss.,6,2,College of Charleston,5,3
2004,"Baton Rouge, LA",3,College of Charleston,2,3,Army,1,4
2004,"Baton Rouge, LA",4,LSU,6,1,Southern Miss.,3,2
2004,"Baton Rouge, LA",5,College of Charleston,7,3,Southern Miss.,3,2
2004,"Baton Rouge, LA",6,LSU,11,1,College of Charleston,3,3
2004,"Columbia, SC",1,North Carolina,6,2,Coastal Carolina,5,3
2004,"Columbia, SC",2,South Carolina,12,1,The Citadel,4,4
2004,"Columbia, SC",3,The Citadel,10,4,Coastal Carolina,1,3
2004,"Columbia, SC",4,South Carolina,5,1,North Carolina,2,2
2004,"Columbia, SC",5,North Carolina,6,2,The Citadel,3,4
2004,"Columbia, SC",6,South Carolina,7,1,North Carolina,6,2
2004,"Kinston, NC",1,NC-Wilmington,8,3,Tennessee,3,2
2004,"Kinston, NC",2,East Carolina,8,1,Stony Brook,2,4
2004,"Kinston, NC",3,Tennessee,1,2,Stony Brook,0,4
2004,"Kinston, NC",4,East Carolina,11,1,NC-Wilmington,4,3
2004,"Kinston, NC",5,NC-Wilmington,4,3,Tennessee,3,2
2004,"Kinston, NC",6,East Carolina,7,1,NC-Wilmington,0,3
2004,"Fullerton, CA",1,Pepperdine,15,4,Arizona St.,5,1
2004,"Fullerton, CA",2,Cal St. Fullerton,7,2,Minnesota,1,3
2004,"Fullerton, CA",3,Arizona St.,6,1,Minnesota,4,3
2004,"Fullerton, CA",4,Pepperdine,7,4,Cal St. Fullerton,6,2
2004,"Fullerton, CA",5,Cal St. Fullerton,5,2,Arizona St.,0,1
2004,"Fullerton, CA",6,Cal St. Fullerton,16,2,Pepperdine,1,4
2004,"Fullerton, CA",7,Cal St. Fullerton,15,2,Pepperdine,3,4
2004,"Oxford, MS",1,Tulane,3,3,Washington,2,2
2004,"Oxford, MS",2,Western Kentucky,1,4,Mississippi,0,1
2004,"Oxford, MS",3,Washington,7,2,Mississippi,2,1
2004,"Oxford, MS",4,Tulane,7,3,Western Kentucky,0,4
2004,"Oxford, MS",5,Washington,4,2,Western Kentucky,1,4
2004,"Oxford, MS",6,Tulane,12,3,Washington,3,2
2005,New Orleans,1,Tulane,17,1,Southern,7,4
2005,New Orleans,2,Alabama,7,2,Louisiana-Lafayette,5,3
2005,New Orleans,3,Louisiana-Lafayette,9,3,Southern,1,4
2005,New Orleans,4,Tulane,10,1,Alabama,4,2
2005,New Orleans,5,Alabama,4,2,Louisiana-Lafayette,3,3
2005,New Orleans,6,Tulane,7,1,Alabama,4,2
2005,"Baton Rouge, LA",1,LSU,14,1,Marist,5,4
2005,"Baton Rouge, LA",2,Rice,7,2,Northwestern St.,3,3
2005,"Baton Rouge, LA",3,Northwestern St.,4,3,Marist,3,4
2005,"Baton Rouge, LA",4,Rice,9,2,LSU,7,1
2005,"Baton Rouge, LA",5,LSU,12,1,Northwestern St.,4,3
2005,"Baton Rouge, LA",6,Rice,5,2,LSU,4,1
2005,"Corvallis, OR",1,St. John's,5,3,Virginia,3,2
2005,"Corvallis, OR",2,Oregon St.,4,1,Ohio St.,3,4
2005,"Corvallis, OR",3,Ohio St.,2,4,Virginia,1,2
2005,"Corvallis, OR",4,Oregon St.,11,1,St. John's,1,3
2005,"Corvallis, OR",5,St. John's,7,3,Ohio St.,1,4
2005,"Corvallis, OR",6,Oregon St.,19,1,St. John's,3,3
2005,"Long Beach, CA",1,USC,7,2,Pepperdine,3,3
2005,"Long Beach, CA",2,Long Beach St.,11,1,Rhode Island,2,4
2005,"Long Beach, CA",3,Pepperdine,2,3,Rhode Island,1,4
2005,"Long Beach, CA",4,USC,6,2,Long Beach St.,4,1
2005,"Long Beach, CA",5,Pepperdine,6,3,Long Beach St.,3,1
